awardeeCounty,Year_date,awardee,d_inv,d_59,estimatedTotalAmt,d_99,estimatedTotalAmt_d_99,total
Brooklyn,2021,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,0,1,50000,1,15000000,15050000
Buffalo,2013,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,3,150000,0,0,150000
Buffalo,2014,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,1,50000,0,0,50000
Buffalo,2015,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,2,100000,0,0,100000
Buffalo,2017,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",1,0,0,1,500000,500000
Buffalo,2021,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,4,200000,0,0,200000
Buffalo,2022,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,1,50000,0,0,50000
Burlington,2021,UNIVERSITY OF VERMONT & STATE AGRICULTURAL COLLEGE,0,1,50000,0,0,50000
Cambridge,2012,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,0,2,100000,0,0,100000
Cambridge,2014,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,0,1,50000,0,0,50000
Cambridge,2014,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1,0,0,1,299991,299991
Cambridge,2015,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,0,4,200000,0,0,200000
Cambridge,2015,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,0,2,100000,0,0,100000
Cambridge,2016,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,0,5,250000,0,0,250000
Cambridge,2017,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,0,4,200000,1,299613,499613
Cambridge,2018,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,0,8,400000,1,4200000,4600000
Cambridge,2019,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,0,8,400000,1,171116,571116
Cambridge,2020,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,0,10,500000,0,0,500000
Cambridge,2020,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,0,1,50000,0,0,50000
Cambridge,2021,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,0,6,300000,0,0,300000
Cambridge,2021,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,0,3,150000,0,0,150000
Camden,2018,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",0,1,50000,0,0,50000
Canton,2021,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,1,50000,0,0,50000
Canton,2021,SUNY CANTON,0,1,50000,0,0,50000
Canyon,2022,"TEXAS A&M UNIVERSITY SYSTEM,THE",0,1,50000,0,0,50000
Cape Girardeau,2020,SOUTHEAST MISSOURI STATE UNIVERSITY,0,1,45000,0,0,45000
Carbondale,2021,SOUTHERN ILLINOIS UNIVERSITY,0,1,50000,0,0,50000
Champaign,2011,UNIVERSITY OF ILLINOIS,0,2,100000,0,0,100000
Champaign,2012,UNIVERSITY OF ILLINOIS,0,1,50000,0,0,50000
Champaign,2013,UNIVERSITY OF ILLINOIS,0,3,150000,1,237120,387120
Champaign,2014,UNIVERSITY OF ILLINOIS,0,3,150000,0,0,150000
Champaign,2016,UNIVERSITY OF ILLINOIS,0,5,250000,0,0,250000
Champaign,2017,UNIVERSITY OF ILLINOIS,0,10,500000,1,300000,800000
Champaign,2018,UNIVERSITY OF ILLINOIS,0,2,100000,0,0,100000
Champaign,2019,UNIVERSITY OF ILLINOIS,0,5,250000,1,296238,546238
Champaign,2020,UNIVERSITY OF ILLINOIS,0,1,23280,0,0,23280
Champaign,2021,UNIVERSITY OF ILLINOIS,0,1,50000,0,0,50000
Champaign,2022,UNIVERSITY OF ILLINOIS,0,1,50000,0,0,50000
Chapel Hill,2012,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,0,2,100000,0,0,100000
Chapel Hill,2013,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,0,1,50000,0,0,50000
Chapel Hill,2016,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,0,1,50000,0,0,50000
Chapel Hill,2022,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,0,1,50000,0,0,50000
Charlotte,2012,"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE, THE",0,1,50000,0,0,50000
Charlotte,2013,"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE, THE",0,2,100000,0,0,100000
Charlotte,2015,"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE, THE",1,0,0,1,300000,300000
Charlotte,2016,"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE, THE",0,1,50000,0,0,50000
Charlotte,2017,"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE, THE",0,3,150000,0,0,150000
Charlotte,2019,"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE, THE",0,3,150000,0,0,150000
Charlotte,2020,"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE, THE",0,4,200000,0,0,200000
Charlotte,2021,"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE, THE",0,5,250000,0,0,250000
Charlotte,2022,"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE, THE",0,2,100000,0,0,100000
